ID,fault,strike,dip,nx,ny,nz
16671,EW1,90.0,90.0,0.0,1.0,0.0
16672,EW1,90.0,90.0,0.0,1.0,0.0
16673,EW1,90.0,90.0,0.0,1.0,0.0
16674,EW1,90.0,90.0,0.0,1.0,0.0
16675,EW1,90.0,90.0,0.0,1.0,0.0
16676,EW1,90.0,90.0,0.0,1.0,0.0
16677,EW1,90.0,90.0,0.0,1.0,0.0
16678,EW1,90.0,90.0,0.0,1.0,0.0
16679,EW1,90.0,90.0,0.0,1.0,0.0
16680,EW1,90.0,90.0,0.0,1.0,0.0
16681,EW1,90.0,90.0,0.0,1.0,0.0
16682,EW1,90.0,90.0,0.0,1.0,0.0
16683,EW1,90.0,90.0,0.0,1.0,0.0
16684,EW1,90.0,90.0,0.0,1.0,0.0
16685,EW1,90.0,90.0,0.0,1.0,0.0
16686,EW1,90.0,90.0,0.0,1.0,0.0
16687,EW1,90.0,90.0,0.0,1.0,0.0
16688,EW1,90.0,90.0,0.0,1.0,0.0
16689,EW1,90.0,90.0,0.0,1.0,0.0
16690,EW1,90.0,90.0,0.0,1.0,0.0
16691,EW1,90.0,90.0,0.0,1.0,0.0
16692,EW1,90.0,90.0,0.0,1.0,0.0
16693,EW1,90.0,90.0,0.0,1.0,0.0
16694,EW1,90.0,90.0,0.0,1.0,0.0
16695,EW1,90.0,90.0,0.0,1.0,0.0
16696,EW1,90.0,90.0,0.0,1.0,0.0
16697,EW1,90.0,90.0,0.0,1.0,0.0
16698,EW1,90.0,90.0,0.0,1.0,0.0
16699,EW1,90.0,90.0,0.0,1.0,0.0
16700,EW1,90.0,90.0,0.0,1.0,0.0
16701,EW1,90.0,90.0,0.0,1.0,0.0
16702,EW1,90.0,90.0,0.0,1.0,0.0
16703,EW1,90.0,90.0,0.0,1.0,0.0
16704,EW1,90.0,90.0,0.0,1.0,0.0
16705,EW1,90.0,90.0,0.0,1.0,0.0
16706,EW1,90.0,90.0,0.0,1.0,0.0
16707,EW1,90.0,90.0,0.0,1.0,0.0
16708,EW1,90.0,90.0,0.0,1.0,0.0
16709,EW1,90.0,90.0,0.0,1.0,0.0
16710,EW1,90.0,90.0,0.0,1.0,0.0
16711,EW1,90.0,90.0,0.0,1.0,0.0
16712,EW1,90.0,90.0,0.0,1.0,0.0
16713,EW1,90.0,90.0,0.0,1.0,0.0
16714,EW1,90.0,90.0,0.0,1.0,0.0
16715,EW1,90.0,90.0,0.0,1.0,0.0
16716,EW1,90.0,90.0,0.0,1.0,0.0
16717,EW1,90.0,90.0,0.0,1.0,0.0
16718,EW1,90.0,90.0,0.0,1.0,0.0
16719,EW1,90.0,90.0,0.0,1.0,0.0
24225,EW1,90.0,90.0,0.0,1.0,0.0
24226,EW1,90.0,90.0,0.0,1.0,0.0
24227,EW1,90.0,90.0,0.0,1.0,0.0
24228,EW1,90.0,90.0,0.0,1.0,0.0
24229,EW1,90.0,90.0,0.0,1.0,0.0
24230,EW1,90.0,90.0,0.0,1.0,0.0
24231,EW1,90.0,90.0,0.0,1.0,0.0
24232,EW1,90.0,90.0,0.0,1.0,0.0
24233,EW1,90.0,90.0,0.0,1.0,0.0
24234,EW1,90.0,90.0,0.0,1.0,0.0
24235,EW1,90.0,90.0,0.0,1.0,0.0
24236,EW1,90.0,90.0,0.0,1.0,0.0
24237,EW1,90.0,90.0,0.0,1.0,0.0
24238,EW1,90.0,90.0,0.0,1.0,0.0
24239,EW1,90.0,90.0,0.0,1.0,0.0
24240,EW1,90.0,90.0,0.0,1.0,0.0
24241,EW1,90.0,90.0,0.0,1.0,0.0
24242,EW1,90.0,90.0,0.0,1.0,0.0
24243,EW1,90.0,90.0,0.0,1.0,0.0
24244,EW1,90.0,90.0,0.0,1.0,0.0
24245,EW1,90.0,90.0,0.0,1.0,0.0
24246,EW1,90.0,90.0,0.0,1.0,0.0
24247,EW1,90.0,90.0,0.0,1.0,0.0
24248,EW1,90.0,90.0,0.0,1.0,0.0
24249,EW1,90.0,90.0,0.0,1.0,0.0
24250,EW1,90.0,90.0,0.0,1.0,0.0
24251,EW1,90.0,90.0,0.0,1.0,0.0
24252,EW1,90.0,90.0,0.0,1.0,0.0
24253,EW1,90.0,90.0,0.0,1.0,0.0
24254,EW1,90.0,90.0,0.0,1.0,0.0
